
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3044_6.RCP         56          56       56       0.0%           0.025
J3044_7.RCP         42          42       42       0.0%           0.026
J3044_8.RCP         49          49       49       0.0%           0.026
J3044_9.RCP         64          64       64       0.0%           0.026
J3045_1.RCP        101          53       82      23.2%           1.001
J3045_10.RCP       108          58       90      20.0%           1.001
J3045_2.RCP        142          63      125      13.6%           1.005
J3045_3.RCP        115          57       92      25.0%           1.002
J3045_4.RCP         92          59       84       9.5%           1.002
J3045_5.RCP        103          58       86      19.8%           1.004
J3045_6.RCP        161          70      129      24.8%           1.001
J3045_7.RCP        113          72      101      11.9%           1.003
J3045_8.RCP         95          65       94       1.1%           1.003
J3045_9.RCP        100          50       82      22.0%           1.002
J3046_1.RCP         65          58       59      10.2%           1.002
J3046_10.RCP        62          46       55      12.7%           1.002
J3046_2.RCP         68          64       67       1.5%           1.002
J3046_3.RCP         69          64       65       6.2%           1.002
J3046_4.RCP         70          60       64       9.4%           1.002
J3046_5.RCP         61          56       57       7.0%           1.003
J3046_6.RCP         62          56       59       5.1%           1.001
J3046_7.RCP         66          47       59      11.9%           1.002
J3046_8.RCP         60          55       58       3.4%           1.002
J3046_9.RCP         52          45       49       6.1%           1.002
J3047_1.RCP         59          58       58       1.7%           1.002
J3047_10.RCP        63          57       60       5.0%           1.003
J3047_2.RCP         59          59       59       0.0%           0.045
J3047_3.RCP         57          55       55       3.6%           1.002
J3047_4.RCP         52          48       49       6.1%           1.001
J3047_5.RCP         50          44       47       6.4%           1.002
J3047_6.RCP         59          50       53      11.3%           1.002
J3047_7.RCP         67          60       66       1.5%           1.003
J3047_8.RCP         48          48       48       0.0%           0.219
J3047_9.RCP         65          65       65       0.0%           0.177
J3048_1.RCP         63          63       63       0.0%           0.023
J3048_10.RCP        54          54       54       0.0%           0.028
J3048_2.RCP         54          54       54       0.0%           0.026
J3048_3.RCP         50          50       50       0.0%           0.029
J3048_4.RCP         57          57       57       0.0%           0.035
J3048_5.RCP         58          58       58       0.0%           0.028
J3048_6.RCP         58          58       58       0.0%           0.031
J3048_7.RCP         55          55       55       0.0%           0.034
J3048_8.RCP         44          44       44       0.0%           0.026
J3048_9.RCP         59          59       59       0.0%           0.034
J304_1.RCP          49          49       49       0.0%           0.031
J304_10.RCP         48          48       48       0.0%           0.033
J304_2.RCP          60          60       60       0.0%           0.034
J304_3.RCP          47          47       47       0.0%           0.044
J304_4.RCP          57          57       57       0.0%           0.029
J304_5.RCP          59          59       59       0.0%           0.039
J304_6.RCP          45          45       45       0.0%           0.029
J304_7.RCP          56          56       56       0.0%           0.051
J304_8.RCP          55          55       55       0.0%           0.061
J304_9.RCP          38          38       38       0.0%           0.034
J305_1.RCP          70          41       53      32.1%           1.001
J305_10.RCP         80          56       70      14.3%           1.001
J305_2.RCP          89          56       82       8.5%           1.002
J305_3.RCP          98          54       76      28.9%           1.002
J305_4.RCP          83          43       63      31.7%           1.001
J305_5.RCP          92          58       76      21.1%           1.001
J305_6.RCP          74          47       64      15.6%           1.002
J305_7.RCP          99          43       76      30.3%           1.001
J305_8.RCP          76          53       67      13.4%           1.002
J305_9.RCP          53          38       49       8.2%           1.002
J306_1.RCP          64          54       59       8.5%           1.002
J306_10.RCP         66          58       61       8.2%           1.003
J306_2.RCP          64          50       51      25.5%           1.004
J306_3.RCP          53          45       48      10.4%           1.002
J306_4.RCP          57          36       42      35.7%           1.002
J306_5.RCP          73          57       67       9.0%           1.002
J306_6.RCP          47          35       37      27.0%           1.001
J306_7.RCP          53          43       46      15.2%           1.003
J306_8.RCP          43          39       39      10.3%           1.006
J306_9.RCP          53          48       51       3.9%           1.002
J307_1.RCP          55          55       55       0.0%           0.045
J307_10.RCP         49          43       49       0.0%           1.002
J307_2.RCP          42          42       42       0.0%           0.051
J307_3.RCP          49          39       42      16.7%           1.002
J307_4.RCP          44          44       44       0.0%           0.036
J307_5.RCP          45          41       44       2.3%           1.004
J307_6.RCP          35          35       35       0.0%           0.180
J307_7.RCP          56          50       50      12.0%           1.002
J307_8.RCP          44          43       44       0.0%           1.002
J307_9.RCP          60          56       60       0.0%           1.002
J308_1.RCP          44          44       44       0.0%           0.033
J308_10.RCP         67          67       67       0.0%           0.034
J308_2.RCP          51          51       51       0.0%           0.037
J308_3.RCP          53          53       53       0.0%           0.041
J308_4.RCP          48          48       48       0.0%           0.041
J308_5.RCP          58          58       58       0.0%           0.039
J308_6.RCP          47          47       47       0.0%           0.045
J308_7.RCP          41          41       41       0.0%           0.038
J308_8.RCP          51          51       51       0.0%           0.035
J308_9.RCP          39          39       39       0.0%           0.046
J309_1.RCP          97          55       83      16.9%           1.001
J309_10.RCP         99          63       88      12.5%           1.005
J309_2.RCP         109          45       92      18.5%           1.003
J309_3.RCP         100          48       68      47.1%           1.001
J309_4.RCP          80          52       71      12.7%           1.002
J309_5.RCP          81          53       70      15.7%           1.003
J309_6.RCP          71          47       59      20.3%           1.001
J309_7.RCP          73          41       63      15.9%           1.002
J309_8.RCP         108          54       91      18.7%           1.004
J309_9.RCP          79          37       63      25.4%           1.002

Average Summary
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
------------------------------------------------------------------
Average     63.337      52.358   58.992     6.540%           0.621

Comparison Summary
Instances total: 480
Solved: 244/480 (50.8%)
Mean gap to optimal: 6.54%
Median gap to optimal: 0.00%
Note: branching order used = lower_bound
Note: search strategy used = ubs

Note: lower bound used = lb_cp
Note: dominance used = all
Note: optimal baseline JSON used = data/baseline/j30_opt.json
