
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3036_2.RCP         44          44       44       0.0%         32           0.136
J3036_3.RCP         61          61       61       0.0%         32           0.126
J3036_4.RCP         59          59       59       0.0%         32           0.132
J3036_5.RCP         64          64       64       0.0%         32           0.128
J3036_6.RCP         46          46       46       0.0%         32           0.130
J3036_7.RCP         56          56       56       0.0%         32           0.132
J3036_8.RCP         63          63       63       0.0%         32           0.138
J3036_9.RCP         59          59       59       0.0%         32           0.137
J3037_1.RCP         83          46       79       5.1%      14098          60.031
J3037_10.RCP        86          60       81       6.2%      13616          60.069
J3037_2.RCP         78          49       69      13.0%      12855          60.064
J3037_3.RCP         95          52       81      17.3%      12195          60.088
J3037_4.RCP         89          62       83       7.2%      13222          60.073
J3037_5.RCP         80          59       80       0.0%      12821          60.097
J3037_6.RCP         76          50       73       4.1%      14792          60.059
J3037_7.RCP         95          54       92       3.3%      13493          60.074
J3037_8.RCP         80          57       72      11.1%      13425          60.059
J3037_9.RCP         57          46       57       0.0%      14075          60.062
J3038_1.RCP         48          48       48       0.0%       2486          10.055
J3038_10.RCP        60          60       60       0.0%       2468          10.166
J3038_2.RCP         54          50       54       0.0%      14163          60.037
J3038_3.RCP         59          59       59       0.0%      10687          44.681
J3038_4.RCP         59          59       59       0.0%        768           3.648
J3038_5.RCP         71          62       71       0.0%      13955          60.027
J3038_6.RCP         63          63       63       0.0%       4343          16.961
J3038_7.RCP         65          65       65       0.0%      13164          55.487
J3038_8.RCP         61          61       61       0.0%       9053          36.184
J3038_9.RCP         63          63       63       0.0%       5504          24.427
J3039_1.RCP         55          55       55       0.0%         32           0.170
J3039_10.RCP        60          60       60       0.0%       4605          21.041
J3039_2.RCP         54          54       54       0.0%         32           0.160
J3039_3.RCP         54          54       54       0.0%       1099           5.114
J3039_4.RCP         53          53       53       0.0%        186           0.859
J3039_5.RCP         55          55       55       0.0%         32           0.149
J3039_6.RCP         69          69       69       0.0%         78           0.354
J3039_7.RCP         56          56       56       0.0%      13674          55.955
J3039_8.RCP         67          67       67       0.0%         32           0.177
J3039_9.RCP         64          64       64       0.0%       4453          19.178
J303_1.RCP          72          72       72       0.0%         32           0.141
J303_10.RCP         59          57       59       0.0%      14023          60.023
J303_2.RCP          40          39       40       0.0%      14094          60.069
J303_3.RCP          57          57       57       0.0%         32           0.192
J303_4.RCP          98          98       98       0.0%         32           0.161
J303_5.RCP          53          46       53       0.0%      13423          60.032
J303_6.RCP          54          54       54       0.0%       1045           4.391
J303_7.RCP          48          48       48       0.0%         32           0.149
J303_8.RCP          54          54       54       0.0%         32           0.141
J303_9.RCP          65          60       65       0.0%      13791          60.026
J3040_1.RCP         51          51       51       0.0%         32           0.169
J3040_10.RCP        51          51       51       0.0%         32           0.138
J3040_2.RCP         56          56       56       0.0%         32           0.142
J3040_3.RCP         57          57       57       0.0%         32           0.134
J3040_4.RCP         57          57       57       0.0%         32           0.139
J3040_5.RCP         65          65       65       0.0%         32           0.137
J3040_6.RCP         60          60       60       0.0%         32           0.132
J3040_7.RCP         46          46       46       0.0%         32           0.140
J3040_8.RCP         57          57       57       0.0%         32           0.141
J3040_9.RCP         64          64       64       0.0%         32           0.135
J3041_1.RCP         98          50       86      14.0%      14938          60.038
J3041_10.RCP       107          59       99       8.1%      15418          60.073
J3041_2.RCP         91          49       89       2.2%      13285          60.080
J3041_3.RCP         85          59       85       0.0%      13784          60.079
J3041_4.RCP         83          47       78       6.4%      14932          60.090
J3041_5.RCP        105          63       99       6.1%      13619          60.084
J3041_6.RCP        108          65      103       4.9%      15179          60.103
J3041_7.RCP        101          56       92       9.8%      13672          60.064
J3041_8.RCP         91          55       88       3.4%      13622          60.098
J3041_9.RCP        101          69       92       9.8%      14440          60.064
J3042_1.RCP         58          58       58       0.0%         32           0.180
J3042_10.RCP        75          75       75       0.0%         32           0.141
J3042_2.RCP         50          47       50       0.0%      13967          60.056
J3042_3.RCP         60          54       60       0.0%      14240          60.075
J3042_4.RCP         49          42       49       0.0%      14234          60.103
J3042_5.RCP         52          52       52       0.0%         32           0.189
J3042_6.RCP         66          66       66       0.0%      10130          42.805
J3042_7.RCP         66          65       66       0.0%      13779          60.080
J3042_8.RCP         82          67       82       0.0%      13026          60.094
J3042_9.RCP         61          59       60       1.7%      12519          60.102
J3043_1.RCP         57          53       55       3.6%      12605          60.104
J3043_10.RCP        60          60       60       0.0%       2164           9.494
J3043_2.RCP         43          43       43       0.0%         99           0.480
J3043_3.RCP         57          57       57       0.0%       2447          11.503
J3043_4.RCP         67          67       67       0.0%         56           0.272
J3043_5.RCP         69          62       64       7.8%      13199          60.042
J3043_6.RCP         58          58       58       0.0%      11527          50.224
J3043_7.RCP         52          52       52       0.0%         54           0.259
J3043_8.RCP         62          62       62       0.0%       2927          11.991
J3043_9.RCP         57          57       57       0.0%       3793          15.365
J3044_1.RCP         50          50       50       0.0%         32           0.152
J3044_10.RCP        63          63       63       0.0%         32           0.134
J3044_2.RCP         54          54       54       0.0%         32           0.136
J3044_3.RCP         51          51       51       0.0%         32           0.142
J3044_4.RCP         57          57       57       0.0%         32           0.128
J3044_5.RCP         55          55       55       0.0%         32           0.140
J3044_6.RCP         56          56       56       0.0%         32           0.129
J3044_7.RCP         42          42       42       0.0%         32           0.143
J3044_8.RCP         49          49       49       0.0%         32           0.135
J3044_9.RCP         64          64       64       0.0%         32           0.131
J3045_1.RCP         97          53       82      18.3%      14863          60.029
J3045_10.RCP        98          58       90       8.9%      13866          60.083
J3045_2.RCP        129          63      125       3.2%      14233          60.075
J3045_3.RCP        116          57       92      26.1%      15098          60.096
J3045_4.RCP         92          59       84       9.5%      13906          60.088
J3045_5.RCP         92          58       86       7.0%      12974          60.091
J3045_6.RCP        139          70      129       7.8%      13624          60.100
J3045_7.RCP        118          72      101      16.8%      12640          60.060
J3045_8.RCP         95          65       94       1.1%      14872          60.090
J3045_9.RCP         95          50       82      15.9%      14083          60.064
J3046_1.RCP         60          58       59       1.7%      13339          60.096
J3046_10.RCP        55          46       55       0.0%      13450          60.120
J3046_2.RCP         67          64       67       0.0%      13786          60.076
J3046_3.RCP         67          64       65       3.1%      14512          60.114
J3046_4.RCP         64          60       64       0.0%      14565          60.074
J3046_5.RCP         59          56       57       3.5%      13781          60.090
J3046_6.RCP         61          56       59       3.4%      14369          60.108
J3046_7.RCP         63          47       59       6.8%      14309          60.181
J3046_8.RCP         59          55       58       1.7%      13845          60.076
J3046_9.RCP         51          45       49       4.1%      14386          60.109
J3047_1.RCP         58          58       58       0.0%        110           0.503
J3047_10.RCP        60          57       60       0.0%      12881          60.063
J3047_2.RCP         59          59       59       0.0%         32           0.214
J3047_3.RCP         55          55       55       0.0%         32           0.163
J3047_4.RCP         49          49       49       0.0%       6106          26.437
J3047_5.RCP         47          47       47       0.0%      12829          55.210
J3047_6.RCP         54          50       53       1.9%      13424          60.074
J3047_7.RCP         66          60       66       0.0%      13885          60.112
J3047_8.RCP         48          48       48       0.0%         32           0.178
J3047_9.RCP         65          65       65       0.0%         46           0.197
J3048_1.RCP         63          63       63       0.0%         32           0.137
J3048_10.RCP        54          54       54       0.0%         32           0.140
J3048_2.RCP         54          54       54       0.0%         32           0.133
J3048_3.RCP         50          50       50       0.0%         32           0.150
J3048_4.RCP         57          57       57       0.0%         32           0.140
J3048_5.RCP         58          58       58       0.0%         32           0.146
J3048_6.RCP         58          58       58       0.0%         32           0.136
J3048_7.RCP         55          55       55       0.0%         32           0.136
J3048_8.RCP         44          44       44       0.0%         32           0.136
J3048_9.RCP         59          59       59       0.0%         32           0.136
J304_1.RCP          49          49       49       0.0%         32           0.127
J304_10.RCP         48          48       48       0.0%         32           0.137
J304_2.RCP          60          60       60       0.0%         32           0.136
J304_3.RCP          47          47       47       0.0%         32           0.140
J304_4.RCP          57          57       57       0.0%         32           0.134
J304_5.RCP          59          59       59       0.0%         32           0.142
J304_6.RCP          45          45       45       0.0%         32           0.128
J304_7.RCP          56          56       56       0.0%         32           0.137
J304_8.RCP          55          55       55       0.0%         32           0.135
J304_9.RCP          38          38       38       0.0%         32           0.146
J305_1.RCP          56          41       53       5.7%      13838          60.033
J305_10.RCP         70          56       70       0.0%      12467          60.100
J305_2.RCP          85          56       82       3.7%      12445          60.074
J305_3.RCP          90          54       76      18.4%      13854          60.095
J305_4.RCP          63          43       63       0.0%      12231          60.062
J305_5.RCP          79          58       76       3.9%      13572          60.086
J305_6.RCP          73          47       64      14.1%      12178          60.060
J305_7.RCP          79          43       76       3.9%      12827          60.079
J305_8.RCP          72          53       67       7.5%      13497          60.060
J305_9.RCP          50          38       49       2.0%      14293          60.070
J306_1.RCP          60          54       59       1.7%      13885          60.104
J306_10.RCP         62          58       61       1.6%      13157          60.121
J306_2.RCP          51          50       51       0.0%      13098          60.111
J306_3.RCP          49          45       48       2.1%      14048          60.107
J306_4.RCP          42          36       42       0.0%      13423          60.084
J306_5.RCP          67          57       67       0.0%      14350          60.074
J306_6.RCP          37          35       37       0.0%      13251          60.090
J306_7.RCP          46          43       46       0.0%      13031          60.090
J306_8.RCP          43          39       39      10.3%      13509          60.076
J306_9.RCP          51          48       51       0.0%      13602          60.122
J307_1.RCP          55          55       55       0.0%         32           0.191
J307_10.RCP         49          43       49       0.0%      12946          60.034
J307_2.RCP          42          42       42       0.0%         32           0.181
J307_3.RCP          42          42       42       0.0%       8288          35.949
J307_4.RCP          45          44       44       2.3%      12142          60.069
J307_5.RCP          45          41       44       2.3%      12506          60.075
J307_6.RCP          35          35       35       0.0%         32           0.183
J307_7.RCP          50          50       50       0.0%       4263          18.217
J307_8.RCP          44          43       44       0.0%      11693          60.034
J307_9.RCP          60          56       60       0.0%      12668          60.071
J308_1.RCP          44          44       44       0.0%         32           0.192
J308_10.RCP         67          67       67       0.0%         32           0.163
J308_2.RCP          51          51       51       0.0%         32           0.162
