
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3046_2.RCP         67          64       67       0.0%          60.092
J3046_3.RCP         66          64       65       1.5%          60.083
J3046_4.RCP         64          60       64       0.0%          60.086
J3046_5.RCP         57          56       57       0.0%          60.216
J3046_6.RCP         60          56       59       1.7%          60.180
J3046_7.RCP         65          47       59      10.2%          60.102
J3046_8.RCP         59          55       58       1.7%          60.566
J3046_9.RCP         50          45       49       2.0%          60.210
J3047_1.RCP         58          58       58       0.0%           1.522
J3047_10.RCP        60          57       60       0.0%          60.035
J3047_2.RCP         59          59       59       0.0%           0.082
J3047_3.RCP         55          55       55       0.0%           1.377
J3047_4.RCP         49          49       49       0.0%           9.267
J3047_5.RCP         47          47       47       0.0%          40.817
J3047_6.RCP         54          50       53       1.9%          60.085
J3047_7.RCP         66          60       66       0.0%          60.088
J3047_8.RCP         48          48       48       0.0%           0.258
J3047_9.RCP         65          65       65       0.0%           0.178
J3048_1.RCP         63          63       63       0.0%           0.024
J3048_10.RCP        54          54       54       0.0%           0.030
J3048_2.RCP         54          54       54       0.0%           0.027
J3048_3.RCP         50          50       50       0.0%           0.030
J3048_4.RCP         57          57       57       0.0%           0.036
J3048_5.RCP         58          58       58       0.0%           0.030
J3048_6.RCP         58          58       58       0.0%           0.032
J3048_7.RCP         55          55       55       0.0%           0.035
J3048_8.RCP         44          44       44       0.0%           0.026
J3048_9.RCP         59          59       59       0.0%           0.034
J304_1.RCP          49          49       49       0.0%           0.031
J304_10.RCP         48          48       48       0.0%           0.033
J304_2.RCP          60          60       60       0.0%           0.035
J304_3.RCP          47          47       47       0.0%           0.044
J304_4.RCP          57          57       57       0.0%           0.029
J304_5.RCP          59          59       59       0.0%           0.039
J304_6.RCP          45          45       45       0.0%           0.029
J304_7.RCP          56          56       56       0.0%           0.044
J304_8.RCP          55          55       55       0.0%           0.036
J304_9.RCP          38          38       38       0.0%           0.035
J305_1.RCP          65          41       53      22.6%          60.026
J305_10.RCP         73          56       70       4.3%          60.114
J305_2.RCP          83          56       82       1.2%          60.134
J305_3.RCP          88          54       76      15.8%          60.145
J305_4.RCP          74          43       63      17.5%          60.071
J305_5.RCP          81          58       76       6.6%          60.172
J305_6.RCP          70          47       64       9.4%          60.149
J305_7.RCP          91          43       76      19.7%          60.069
J305_8.RCP          74          53       67      10.4%          60.056
J305_9.RCP          51          38       49       4.1%          60.064
J306_1.RCP          60          54       59       1.7%          60.095
J306_10.RCP         62          58       61       1.6%          60.061
J306_2.RCP          54          50       51       5.9%          60.056
J306_3.RCP          48          45       48       0.0%          60.061
J306_4.RCP          42          36       42       0.0%          60.091
J306_5.RCP          68          57       67       1.5%          60.170
J306_6.RCP          39          35       37       5.4%          60.067
J306_7.RCP          48          43       46       4.3%          60.087
J306_8.RCP          40          39       39       2.6%          60.073
J306_9.RCP          51          48       51       0.0%          60.100
J307_1.RCP          55          55       55       0.0%           0.097
J307_10.RCP         49          43       49       0.0%          60.026
J307_2.RCP          42          42       42       0.0%           0.080
J307_3.RCP          42          42       42       0.0%          11.286
J307_4.RCP          44          44       44       0.0%           0.043
J307_5.RCP          44          41       44       0.0%          60.026
J307_6.RCP          35          35       35       0.0%           0.213
J307_7.RCP          50          50       50       0.0%           2.478
J307_8.RCP          44          44       44       0.0%          39.711
J307_9.RCP          60          60       60       0.0%          51.894
J308_1.RCP          44          44       44       0.0%           0.064
J308_10.RCP         67          67       67       0.0%           0.034
J308_2.RCP          51          51       51       0.0%           0.037
J308_3.RCP          53          53       53       0.0%           0.040
J308_4.RCP          48          48       48       0.0%           0.041
J308_5.RCP          58          58       58       0.0%           0.040
