
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3040_3.RCP         57          57       57       0.0%         32           0.128
J3040_4.RCP         57          57       57       0.0%         32           0.133
J3040_5.RCP         65          65       65       0.0%         32           0.128
J3040_6.RCP         60          60       60       0.0%         32           0.125
J3040_7.RCP         46          46       46       0.0%         32           0.129
J3040_8.RCP         57          57       57       0.0%         32           0.133
J3040_9.RCP         64          64       64       0.0%         32           0.123
J3041_1.RCP         97          50       86      12.8%      14544          60.034
J3041_10.RCP       105          59       99       6.1%      13260          60.068
J3041_2.RCP         95          49       89       6.7%      12853          60.070
J3041_3.RCP        100          59       85      17.6%      13167          60.088
J3041_4.RCP         89          47       78      14.1%      15661          60.068
J3041_5.RCP        105          63       99       6.1%      14396          60.085
J3041_6.RCP        111          65      103       7.8%      15811          60.082
J3041_7.RCP        105          56       92      14.1%      13849          60.064
J3041_8.RCP         95          55       88       8.0%      13804          60.163
J3041_9.RCP        100          69       92       8.7%      13981          60.099
J3042_1.RCP         58          58       58       0.0%         93           0.423
J3042_10.RCP        75          75       75       0.0%         32           0.133
J3042_2.RCP         50          47       50       0.0%      13679          60.049
J3042_3.RCP         61          54       60       1.7%      14373          60.082
J3042_4.RCP         51          42       49       4.1%      14247          60.076
J3042_5.RCP         52          52       52       0.0%        186           0.789
J3042_6.RCP         66          66       66       0.0%       7939          35.489
J3042_7.RCP         72          65       66       9.1%      12987          60.061
J3042_8.RCP         82          67       82       0.0%      12910          60.099
J3042_9.RCP         62          59       60       3.3%      13753          60.122
J3043_1.RCP         56          53       55       1.8%      14129          60.112
J3043_10.RCP        60          60       60       0.0%       2152           8.899
J3043_2.RCP         43          43       43       0.0%        212           0.874
J3043_3.RCP         57          57       57       0.0%       3818          15.875
J3043_4.RCP         67          67       67       0.0%         78           0.321
J3043_5.RCP         69          62       64       7.8%      13802          60.051
J3043_6.RCP         59          56       58       1.7%      14224          60.076
J3043_7.RCP         52          52       52       0.0%        224           1.030
J3043_8.RCP         62          62       62       0.0%       5210          22.667
J3043_9.RCP         57          57       57       0.0%       3793          16.536
J3044_1.RCP         50          50       50       0.0%         32           0.154
J3044_10.RCP        63          63       63       0.0%         32           0.139
J3044_2.RCP         54          54       54       0.0%         32           0.141
J3044_3.RCP         51          51       51       0.0%         32           0.138
J3044_4.RCP         57          57       57       0.0%         32           0.132
J3044_5.RCP         55          55       55       0.0%         32           0.141
J3044_6.RCP         56          56       56       0.0%         32           0.133
J3044_7.RCP         42          42       42       0.0%         32           0.146
J3044_8.RCP         49          49       49       0.0%         32           0.134
J3044_9.RCP         64          64       64       0.0%         32           0.134
J3045_1.RCP        100          53       82      22.0%      14409          60.046
J3045_10.RCP       100          58       90      11.1%      13456          60.076
J3045_2.RCP        133          63      125       6.4%      14336          60.096
J3045_3.RCP        116          57       92      26.1%      14272          60.086
J3045_4.RCP         87          59       84       3.6%      14296          60.086
J3045_5.RCP         89          58       86       3.5%      14779          60.080
J3045_6.RCP        146          70      129      13.2%      15873          60.115
J3045_7.RCP        111          72      101       9.9%      13000          60.079
J3045_8.RCP        102          65       94       8.5%      15516          60.065
J3045_9.RCP         95          50       82      15.9%      14300          60.078
J3046_1.RCP         60          58       59       1.7%      13185          60.123
J3046_10.RCP        56          46       55       1.8%      13367          60.080
J3046_2.RCP         73          64       67       9.0%      14004          60.113
J3046_3.RCP         70          64       65       7.7%      14629          60.106
J3046_4.RCP         64          60       64       0.0%      14812          60.094
J3046_5.RCP         58          56       57       1.8%      13654          60.106
J3046_6.RCP         60          56       59       1.7%      14326          60.088
J3046_7.RCP         62          47       59       5.1%      14489          60.120
J3046_8.RCP         59          55       58       1.7%      14415          60.108
J3046_9.RCP         49          45       49       0.0%      14052          60.085
J3047_1.RCP         58          58       58       0.0%        383           1.878
